,kernel,C,gamma,epsilon,MAE,MAPE,RMSE,R2
343,poly,0.1,1,0.01,111.48769171982566,58.82931092974376,119.25798414848028,-4.868644482695892
445,poly,100.0,0.1,0.01,111.48786590951542,58.82939841919056,119.25814852642505,-4.868660660671569
342,poly,0.1,1,0.001,111.48982344934392,58.83055094353242,119.25946114677872,-4.868789848755079
444,poly,100.0,0.1,0.001,111.48995521010687,58.830615343230406,119.25958721504175,-4.868802256467243
196,rbf,10.0,0.1,10.0,112.89340468077764,59.51475818677964,120.28234882978595,-4.969894735930225
195,rbf,10.0,0.1,1.0,114.02396266567774,60.191350709514055,121.25240015276144,-5.066574861478915
193,rbf,10.0,0.1,0.01,114.33897859103367,60.36028253957893,121.55688223496927,-5.097081186941486
194,rbf,10.0,0.1,0.1,114.34359030413727,60.36198925581593,121.55985664697803,-5.097379573228558
192,rbf,10.0,0.1,0.001,114.34602833236814,60.36394476746334,121.56345027116102,-5.097740087220179
604,sigmoid,1.0,10,10.0,99.77267510027076,56.764216410766075,122.59393798521818,-5.201558781372007
610,sigmoid,1.0,100,10.0,100.95720019978776,57.143520639618586,123.79584201138476,-5.323754320756037
603,sigmoid,1.0,10,1.0,100.71144387232718,57.29186605925774,123.82979589573769,-5.327223669400092
600,sigmoid,1.0,10,0.001,101.4959054214097,57.669880661966864,124.43418213765571,-5.389137995834715
601,sigmoid,1.0,10,0.01,101.50147185072922,57.67248814039155,124.43982003957579,-5.389716970981066
602,sigmoid,1.0,10,0.1,101.55713614392437,57.698595322965396,124.49621637803676,-5.3955099446123755
250,rbf,100.0,100,10.0,115.75677792517656,60.36213589623103,125.48680454113405,-5.497690090665717
412,poly,10.0,0.1,10.0,117.60746672727025,61.686030974126346,125.61641581689274,-5.511119531830571
310,poly,0.01,1,10.0,117.60761887449529,61.68611033227053,125.61656404347343,-5.511134897999837
608,sigmoid,1.0,100,0.1,102.82641899892806,58.250143308351724,126.30135188605263,-5.582318173674966
607,sigmoid,1.0,100,0.01,102.85225905662233,58.26025521122661,126.32890263465555,-5.5851901551648195
606,sigmoid,1.0,100,0.001,102.85585185014557,58.26166140517264,126.33273509338399,-5.585589713013874
249,rbf,100.0,100,1.0,116.81231755378415,60.99131449520952,126.62595376608115,-5.6161955385334075
248,rbf,100.0,100,0.1,116.91738172097224,61.047551937565416,126.72979552173427,-5.627051434158736
