"","date","cnt"
"530","2018-12-03",44
"531","2018-12-04",111
"532","2018-12-05",95
"533","2018-12-06",107
"534","2018-12-07",68
"535","2018-12-08",33
"536","2018-12-09",36
"537","2018-12-10",84
"538","2018-12-11",78
"539","2018-12-12",79
"540","2018-12-13",48
"541","2018-12-14",61
"542","2018-12-15",37
"543","2018-12-16",37
"544","2018-12-17",70
"545","2018-12-18",98
"546","2018-12-19",98
"547","2018-12-20",103
"548","2018-12-21",102
"549","2018-12-22",54
"550","2018-12-23",48
"551","2018-12-24",54
"552","2018-12-25",39
"553","2018-12-26",64
"554","2018-12-27",47
"555","2018-12-28",42
"556","2018-12-29",23
"557","2018-12-30",31
"558","2018-12-31",48
"559","2019-01-01",15
"560","2019-01-02",29
"561","2019-01-03",30
"562","2019-01-04",30
"563","2019-01-05",28
"564","2019-01-06",21
"565","2019-01-07",36
"566","2019-01-08",34
"567","2019-01-09",35
"568","2019-01-10",42
"569","2019-01-11",47
"570","2019-01-12",23
"571","2019-01-13",21
"572","2019-01-14",37
"573","2019-01-15",30
"574","2019-01-16",34
"575","2019-01-17",37
"576","2019-01-18",40
"577","2019-01-19",21
"578","2019-01-20",21
"579","2019-01-21",37
"580","2019-01-22",40
"581","2019-01-23",44
"582","2019-01-24",46
"583","2019-01-25",40
"584","2019-01-26",30
"585","2019-01-27",16
"586","2019-01-28",39
"587","2019-01-29",49
"588","2019-01-30",46
"589","2019-01-31",36
"590","2019-02-01",25
"591","2019-02-02",17
"592","2019-02-03",3
"593","2019-02-04",10
"594","2019-02-05",12
"595","2019-02-06",14
"596","2019-02-07",28
"597","2019-02-08",25
"598","2019-02-09",28
"599","2019-02-10",22
"600","2019-02-11",32
"601","2019-02-12",31
"602","2019-02-13",40
"603","2019-02-14",39
"604","2019-02-15",25
"605","2019-02-16",30
"606","2019-02-17",20
"607","2019-02-18",40
"608","2019-02-19",26
"609","2019-02-20",38
"610","2019-02-21",36
"611","2019-02-22",40
"612","2019-02-23",37
"613","2019-02-24",32
"614","2019-02-25",37
"615","2019-02-26",38
"616","2019-02-27",68
"617","2019-02-28",42
"618","2019-03-01",43
"619","2019-03-02",39
"620","2019-03-03",32
"621","2019-03-04",60
"622","2019-03-05",45
"623","2019-03-06",52
"624","2019-03-07",63
"625","2019-03-08",45
"626","2019-03-09",49
"627","2019-03-10",56
"628","2019-03-11",71
"629","2019-03-12",43
"630","2019-03-13",59
"631","2019-03-14",66
"632","2019-03-15",34
"633","2019-03-16",43
"634","2019-03-17",47
"635","2019-03-18",64
"636","2019-03-19",68
"637","2019-03-20",22
"638","2019-03-21",66
"639","2019-03-22",58
"640","2019-03-23",44
"641","2019-03-24",41
"642","2019-03-25",59
"643","2019-03-26",144
"644","2019-03-27",119
"645","2019-03-28",141
"646","2019-03-29",124
"647","2019-03-30",40
"648","2019-03-31",73
"649","2019-04-01",133
"650","2019-04-02",111
"651","2019-04-03",131
"652","2019-04-04",132
"653","2019-04-05",124
"654","2019-04-06",58
"655","2019-04-07",138
"656","2019-04-08",146
"657","2019-04-09",61
"658","2019-04-10",98
"659","2019-04-11",147
"660","2019-04-12",171
"661","2019-04-13",169
"662","2019-04-14",89
"663","2019-04-15",157
"664","2019-04-16",179
"665","2019-04-17",166
"666","2019-04-18",151
"667","2019-04-19",164
"668","2019-04-20",105
"669","2019-04-21",139
"670","2019-04-22",192
"671","2019-04-23",190
"672","2019-04-24",155
"673","2019-04-25",48
"674","2019-04-26",92
"675","2019-04-27",120
"676","2019-04-28",161
"677","2019-04-29",182
"678","2019-04-30",213
"679","2019-05-01",176
"680","2019-05-02",204
"681","2019-05-03",175
"682","2019-05-04",150
"683","2019-05-05",147
"684","2019-05-06",191
"685","2019-05-07",182
"686","2019-05-08",181
"687","2019-05-09",229
"688","2019-05-10",208
"689","2019-05-11",188
"690","2019-05-12",225
"691","2019-05-13",198
"692","2019-05-14",194
"693","2019-05-15",202
"694","2019-05-16",215
"695","2019-05-17",195
"696","2019-05-18",186
"697","2019-05-19",183
"698","2019-05-20",180
"699","2019-05-21",189
"700","2019-05-22",218
"701","2019-05-23",228
"702","2019-05-24",217
"703","2019-05-25",206
"704","2019-05-26",195
"705","2019-05-27",184
"706","2019-05-28",191.4
"707","2019-05-29",198.8
"708","2019-05-30",206.2
"709","2019-05-31",213.6
"710","2019-06-01",221
"711","2019-06-02",234
"712","2019-06-03",216
"713","2019-06-04",223
"714","2019-06-05",240
"715","2019-06-06",205.5
"716","2019-06-07",171
"717","2019-06-08",222
"718","2019-06-09",176
"719","2019-06-10",160
"720","2019-06-11",234
"721","2019-06-12",235
"722","2019-06-13",192
"723","2019-06-14",219
"724","2019-06-15",205
"725","2019-06-16",221
