date,cnt,year,month,day,weekday,weeknum,is_holiday
2019-01-16,34,2019,01,16,2,3,0.0
2019-01-17,37,2019,01,17,3,3,0.0
2019-01-18,40,2019,01,18,4,3,0.0
2019-01-19,21,2019,01,19,5,3,0.0
2019-01-20,21,2019,01,20,6,3,0.0
2019-01-21,37,2019,01,21,0,4,0.0
2019-01-22,40,2019,01,22,1,4,0.0
2019-01-23,44,2019,01,23,2,4,0.0
2019-01-24,46,2019,01,24,3,4,0.0
2019-01-25,40,2019,01,25,4,4,0.0
2019-01-26,30,2019,01,26,5,4,0.0
2019-01-27,16,2019,01,27,6,4,0.0
2019-01-28,39,2019,01,28,0,5,0.0
2019-01-29,49,2019,01,29,1,5,0.0
2019-01-30,46,2019,01,30,2,5,0.0
2019-01-31,36,2019,01,31,3,5,0.0
2019-02-01,25,2019,02,01,4,5,0.0
2019-02-02,17,2019,02,02,5,5,0.0
2019-02-03,3,2019,02,03,6,5,0.0
2019-02-04,10,2019,02,04,0,6,1.0
2019-02-05,12,2019,02,05,1,6,1.0
2019-02-06,14,2019,02,06,2,6,1.0
2019-02-07,28,2019,02,07,3,6,0.0
2019-02-08,25,2019,02,08,4,6,0.0
2019-02-09,28,2019,02,09,5,6,0.0
2019-02-10,22,2019,02,10,6,6,0.0
2019-02-11,32,2019,02,11,0,7,0.0
2019-02-12,31,2019,02,12,1,7,0.0
2019-02-13,40,2019,02,13,2,7,0.0
2019-02-14,39,2019,02,14,3,7,0.0
2019-02-15,25,2019,02,15,4,7,0.0
2019-02-16,30,2019,02,16,5,7,0.0
2019-02-17,20,2019,02,17,6,7,0.0
2019-02-18,40,2019,02,18,0,8,0.0
2019-02-19,26,2019,02,19,1,8,0.0
2019-02-20,38,2019,02,20,2,8,0.0
2019-02-21,36,2019,02,21,3,8,0.0
2019-02-22,40,2019,02,22,4,8,0.0
2019-02-23,37,2019,02,23,5,8,0.0
2019-02-24,32,2019,02,24,6,8,0.0
2019-02-25,37,2019,02,25,0,9,0.0
2019-02-26,38,2019,02,26,1,9,0.0
2019-02-27,68,2019,02,27,2,9,0.0
2019-02-28,42,2019,02,28,3,9,0.0
2019-03-01,43,2019,03,01,4,9,1.0
2019-03-02,39,2019,03,02,5,9,0.0
2019-03-03,32,2019,03,03,6,9,0.0
2019-03-04,60,2019,03,04,0,10,0.0
2019-03-05,45,2019,03,05,1,10,0.0
2019-03-06,52,2019,03,06,2,10,0.0
2019-03-07,63,2019,03,07,3,10,0.0
2019-03-08,45,2019,03,08,4,10,0.0
2019-03-09,49,2019,03,09,5,10,0.0
2019-03-10,56,2019,03,10,6,10,0.0
2019-03-11,71,2019,03,11,0,11,0.0
2019-03-12,43,2019,03,12,1,11,0.0
2019-03-13,59,2019,03,13,2,11,0.0
2019-03-14,66,2019,03,14,3,11,0.0
2019-03-15,34,2019,03,15,4,11,0.0
2019-03-16,43,2019,03,16,5,11,0.0
2019-03-17,47,2019,03,17,6,11,0.0
2019-03-18,64,2019,03,18,0,12,0.0
2019-03-19,68,2019,03,19,1,12,0.0
2019-03-20,22,2019,03,20,2,12,0.0
2019-03-21,66,2019,03,21,3,12,0.0
2019-03-22,58,2019,03,22,4,12,0.0
2019-03-23,44,2019,03,23,5,12,0.0
2019-03-24,41,2019,03,24,6,12,0.0
2019-03-25,59,2019,03,25,0,13,0.0
2019-03-26,144,2019,03,26,1,13,0.0
2019-03-27,119,2019,03,27,2,13,0.0
2019-03-28,141,2019,03,28,3,13,0.0
2019-03-29,124,2019,03,29,4,13,0.0
2019-03-30,40,2019,03,30,5,13,0.0
2019-03-31,73,2019,03,31,6,13,0.0
2019-04-01,133,2019,04,01,0,14,0.0
2019-04-02,111,2019,04,02,1,14,0.0
2019-04-03,131,2019,04,03,2,14,0.0
2019-04-04,132,2019,04,04,3,14,0.0
2019-04-05,124,2019,04,05,4,14,0.0
2019-04-06,58,2019,04,06,5,14,0.0
2019-04-07,138,2019,04,07,6,14,0.0
2019-04-08,146,2019,04,08,0,15,0.0
2019-04-09,61,2019,04,09,1,15,0.0
2019-04-10,98,2019,04,10,2,15,0.0
2019-04-11,147,2019,04,11,3,15,0.0
2019-04-12,171,2019,04,12,4,15,0.0
2019-04-13,169,2019,04,13,5,15,0.0
2019-04-14,89,2019,04,14,6,15,0.0
2019-04-15,157,2019,04,15,0,16,0.0
2019-04-16,179,2019,04,16,1,16,0.0
2019-04-17,166,2019,04,17,2,16,0.0
2019-04-18,151,2019,04,18,3,16,0.0
2019-04-19,164,2019,04,19,4,16,0.0
2019-04-20,105,2019,04,20,5,16,0.0
2019-04-21,139,2019,04,21,6,16,0.0
2019-04-22,192,2019,04,22,0,17,0.0
2019-04-23,190,2019,04,23,1,17,0.0
2019-04-24,155,2019,04,24,2,17,0.0
2019-04-25,48,2019,04,25,3,17,0.0
2019-04-26,92,2019,04,26,4,17,0.0
2019-04-27,120,2019,04,27,5,17,0.0
2019-04-28,161,2019,04,28,6,17,0.0
2019-04-29,182,2019,04,29,0,18,0.0
2019-04-30,213,2019,04,30,1,18,0.0
2019-05-01,176,2019,05,01,2,18,1.0
2019-05-02,204,2019,05,02,3,18,0.0
2019-05-03,175,2019,05,03,4,18,0.0
2019-05-04,150,2019,05,04,5,18,0.0
2019-05-05,147,2019,05,05,6,18,1.0
2019-05-06,191,2019,05,06,0,19,1.0
2019-05-07,182,2019,05,07,1,19,0.0
2019-05-08,181,2019,05,08,2,19,0.0
2019-05-09,229,2019,05,09,3,19,0.0
2019-05-10,208,2019,05,10,4,19,0.0
2019-05-11,188,2019,05,11,5,19,0.0
2019-05-12,225,2019,05,12,6,19,1.0
2019-05-13,198,2019,05,13,0,20,0.0
2019-05-14,194,2019,05,14,1,20,0.0
2019-05-15,202,2019,05,15,2,20,0.0
2019-05-16,215,2019,05,16,3,20,0.0
2019-05-17,195,2019,05,17,4,20,0.0
2019-05-18,186,2019,05,18,5,20,0.0
2019-05-19,45,2019,05,19,6,20,0.0
2019-05-20,180,2019,05,20,0,21,0.0
2019-05-21,189,2019,05,21,1,21,0.0
2019-05-22,218,2019,05,22,2,21,0.0
2019-05-23,228,2019,05,23,3,21,0.0
2019-05-24,426,2019,05,24,4,21,0.0
2019-05-25,330,2019,05,25,5,21,0.0
2019-05-26,432,2019,05,26,6,21,0.0
2019-05-27,184,2019,05,27,0,22,0.0
2019-05-28,446,2019,05,28,1,22,0.0
2019-05-29,496,2019,05,29,2,22,0.0
2019-05-30,484,2019,05,30,3,22,0.0
2019-05-31,432,2019,05,31,4,22,0.0
2019-06-01,221,2019,06,01,5,22,0.0
2019-06-02,234,2019,06,02,6,22,0.0
2019-06-03,216,2019,06,03,0,23,0.0
2019-06-04,223,2019,06,04,1,23,0.0
2019-06-05,240,2019,06,05,2,23,0.0
2019-06-06,106,2019,06,06,3,23,1.0
2019-06-07,171,2019,06,07,4,23,0.0
2019-06-08,222,2019,06,08,5,23,0.0
2019-06-09,176,2019,06,09,6,23,0.0
2019-06-10,160,2019,06,10,0,24,0.0
2019-06-11,234,2019,06,11,1,24,0.0
2019-06-12,235,2019,06,12,2,24,0.0
2019-06-13,192,2019,06,13,3,24,0.0
2019-06-14,219,2019,06,14,4,24,0.0
2019-06-15,205,2019,06,15,5,24,0.0
2019-06-16,221,2019,06,16,6,24,0.0
2019-06-17,226,2019,06,17,0,25,0.0
2019-06-18,126,2019,06,18,1,25,0.0
2019-06-19,215,2019,06,19,2,25,0.0
2019-06-20,227,2019,06,20,3,25,0.0
2019-06-21,266,2019,06,21,4,25,0.0
2019-06-22,234,2019,06,22,5,25,0.0
2019-06-23,235,2019,06,23,6,25,0.0
2019-06-24,251,2019,06,24,0,26,0.0
2019-06-25,259,2019,06,25,1,26,0.0
2019-06-26,258,2019,06,26,2,26,0.0
2019-06-27,213,2019,06,27,3,26,0.0
2019-06-28,205,2019,06,28,4,26,0.0
2019-06-29,146,2019,06,29,5,26,0.0
2019-06-30,208,2019,06,30,6,26,0.0
2019-07-01,271,2019,07,01,0,27,0.0
2019-07-02,246,2019,07,02,1,27,0.0
2019-07-03,243,2019,07,03,2,27,0.0
2019-07-04,253,2019,07,04,3,27,0.0
2019-07-05,231,2019,07,05,4,27,0.0
2019-07-06,194,2019,07,06,5,27,0.0
2019-07-07,216,2019,07,07,6,27,0.0
2019-07-08,234,2019,07,08,0,28,0.0
2019-07-09,257,2019,07,09,1,28,0.0
2019-07-10,118,2019,07,10,2,28,0.0
2019-07-11,190,2019,07,11,3,28,0.0
2019-07-12,252,2019,07,12,4,28,0.0
2019-07-13,206,2019,07,13,5,28,0.0
2019-07-14,189,2019,07,14,6,28,0.0
2019-07-15,158,2019,07,15,0,29,0.0
2019-07-16,228,2019,07,16,1,29,0.0
2019-07-17,248,2019,07,17,2,29,0.0
2019-07-18,235,2019,07,18,3,29,0.0
2019-07-19,215,2019,07,19,4,29,0.0
2019-07-20,142,2019,07,20,5,29,0.0
2019-07-21,131,2019,07,21,6,29,0.0
2019-07-22,242,2019,07,22,0,30,0.0
2019-07-23,203,2019,07,23,1,30,0.0
2019-07-24,173,2019,07,24,2,30,0.0
2019-07-25,122,2019,07,25,3,30,0.0
2019-07-26,96,2019,07,26,4,30,0.0
2019-07-27,151,2019,07,27,5,30,0.0
2019-07-28,95,2019,07,28,6,30,0.0
2019-07-29,216,2019,07,29,0,31,0.0
2019-07-30,197,2019,07,30,1,31,0.0
2019-07-31,81,2019,07,31,2,31,0.0
2019-08-01,164,2019,08,01,3,31,0.0
