date,amount
2019-08-12,84.0
2019-08-13,187.0
2019-08-14,171.0
2019-08-15,129.0
2019-08-16,199.0
2019-08-17,192.0
2019-08-18,192.0
2019-08-19,201.0
2019-08-20,223.0
2019-08-21,169.0
2019-08-22,187.0
2019-08-23,223.0
2019-08-24,216.0
2019-08-25,238.0
2019-08-26,241.0
2019-08-27,204.0
2019-08-29,166.0
2019-08-30,239.0
2019-08-31,227.0
2019-09-01,271.0
2019-09-02,282.0
2019-09-03,255.0
2019-09-04,81.0
2019-09-05,119.0
2019-09-06,32.0
2019-09-08,150.0
2019-09-09,200.0
2019-09-10,62.0
2019-09-11,228.0
2019-09-12,81.0
2019-09-13,84.0
2019-09-14,116.0
2019-09-15,201.0
2019-09-16,286.0
2019-09-17,288.0
2019-09-18,286.0
2019-09-19,249.0
2019-09-20,273.0
2019-09-21,260.0
2019-09-22,127.0
2019-09-23,274.0
2019-09-24,232.0
2019-09-25,245.0
2019-09-26,257.0
2019-09-27,270.0
2019-09-28,260.0
2019-09-29,254.0
2019-09-30,223.0
2019-10-01,264.0
2019-10-02,74.0
2019-10-03,223.0
2019-10-04,275.0
2019-10-05,209.0
2019-10-06,210.0
2019-10-07,69.0
2019-10-08,246.0
2019-10-09,211.0
2019-10-10,269.0
2019-10-11,260.0
2019-10-12,223.0
2019-10-13,230.0
2019-10-14,239.0
2019-10-15,230.0
2019-10-16,243.0
2019-10-17,259.0
2019-10-18,232.0
2019-10-19,261.0
2019-10-20,229.0
2019-10-21,235.0
2019-10-22,242.0
2019-10-23,251.0
2019-10-24,253.0
2019-10-25,253.0
2019-10-26,202.0
2019-10-27,179.0
2019-10-28,198.0
2019-10-29,215.0
2019-10-30,243.0
2019-10-31,272.0
2019-11-01,273.0
2019-11-02,230.0
2019-11-03,217.0
2019-11-04,278.0
2019-11-05,260.0
2019-11-06,263.0
2019-11-07,239.0
2019-11-08,231.0
2019-11-09,213.0
2019-11-10,125.0
2019-11-11,219.0
2019-11-12,218.0
2019-11-13,119.0
2019-11-14,145.0
2019-11-15,66.0
2019-11-16,149.0
2019-11-17,33.0
2019-11-18,128.0
2019-11-19,133.0
2019-11-20,124.0
2019-11-21,159.0
2019-11-22,179.0
2019-11-23,153.0
2019-11-24,107.0
2019-11-25,157.0
2019-11-26,181.0
2019-11-27,171.0
2019-11-28,123.0
2019-11-29,148.0
2019-11-30,110.0
2019-12-01,30.0
2019-12-02,113.0
2019-12-03,98.0
2019-12-04,115.0
2019-12-05,98.0
2019-12-06,85.0
2019-12-07,64.0
2019-12-08,97.0
2019-12-09,114.0
2019-12-10,108.0
2019-12-11,124.0
2019-12-12,109.0
2019-12-13,126.0
2019-12-14,77.0
2019-12-15,87.0
2019-12-16,139.0
2019-12-17,93.0
2019-12-18,101.0
2019-12-19,120.0
2019-12-20,102.0
2019-12-21,49.0
2019-12-22,81.0
2019-12-23,78.0
2019-12-24,99.0
2019-12-25,60.0
2019-12-26,91.0
2019-12-27,81.0
2019-12-28,79.0
2019-12-29,61.0
2019-12-30,77.0
